feature,value,0,1,2,3,4,5
attn_0_0_outputs,0,11.766942,-5.1530895,-4.7773223,-8.8755045,-7.0895357,-3.930494
attn_0_0_outputs,1,-3.1656353,14.270713,-6.6226516,-10.182996,-6.0946016,-6.3694963
attn_0_0_outputs,2,-3.6076171,-7.0223336,13.048601,-13.305524,-5.623314,-6.1041274
attn_0_0_outputs,3,-6.717208,-4.250208,-3.656089,13.643133,-5.9272,-4.3731575
attn_0_0_outputs,4,-3.4734342,-3.4125872,-3.1845086,-4.538602,12.951867,-4.803653
attn_0_0_outputs,5,-3.783373,-5.2934422,-5.3613687,-10.498329,-7.689289,12.956204
attn_0_0_outputs,<pad>,0.082137704,0.53678507,0.6463044,-0.18377775,-0.5247523,0.0011658532
attn_0_0_outputs,<s>,1.555603,-1.3186055,0.26588222,0.5373584,-0.06388949,-1.2431644
attn_0_1_outputs,0,3.9889333,-2.32822,-2.5706153,-4.9631395,-1.7865485,-1.0705582
attn_0_1_outputs,1,-2.3614945,5.3948097,-3.6164641,-3.3052893,-2.9862623,-1.5680457
attn_0_1_outputs,2,-2.8451097,-6.3681226,7.126792,-3.790012,-3.4223554,-2.3476546
attn_0_1_outputs,3,-1.2087917,-2.4113941,-1.2825326,6.578179,-2.8463395,-4.1035542
attn_0_1_outputs,4,-2.1292462,-2.0592399,-1.8233383,-1.414391,4.469724,-0.60161287
attn_0_1_outputs,5,-3.0319128,-3.0656579,-3.1796048,-5.608043,-3.8285165,6.616872
attn_0_1_outputs,<pad>,-0.6809105,0.19520228,-0.043344494,-0.297271,-0.4312721,0.22644576
attn_0_1_outputs,<s>,1.794485,0.60544175,0.9166256,0.015586018,0.8678866,-1.547375
mlp_0_0_outputs,0,-1.5568852,2.1259036,5.132149,-5.6529727,0.0082763955,-0.11477511
mlp_0_0_outputs,1,-3.2092998,5.318686,1.516762,-1.8616525,-2.4793568,-1.4067267
mlp_0_0_outputs,2,4.8651986,-5.934642,-0.27181146,2.1879213,1.6502192,-4.109837
mlp_0_0_outputs,3,-0.101752676,-0.6728623,0.25242984,0.4089009,0.8398485,0.055769887
mlp_0_0_outputs,4,-2.0788634,0.29257628,-1.4249763,-0.9884746,5.137683,-0.84195566
mlp_0_0_outputs,5,-3.7611525,0.7110001,-1.5820675,1.8763161,-1.0816605,3.9708564
mlp_0_0_outputs,6,4.8295317,-1.0730165,-2.84872,2.8208222,-3.1667185,-2.852785
mlp_0_0_outputs,7,0.1509977,0.16504818,0.00908898,-0.7677037,0.16630225,-0.5151155
num_attn_0_0_outputs,_,-0.07376183,-0.21563919,-0.16747957,-0.0009647242,-0.25730866,0.99999297
num_attn_0_1_outputs,_,0.0875124,0.21068554,0.109851114,0.62937504,-0.3230294,0.027379379
num_mlp_0_0_outputs,0,0.17287496,0.35103762,0.08927387,-0.9125783,0.8809378,-0.020739967
num_mlp_0_0_outputs,1,-0.3329288,-0.06725142,0.050786417,-0.48977587,0.35199672,-0.38683283
num_mlp_0_0_outputs,2,0.09419129,0.2663963,0.48326632,-0.9404567,0.1853478,-0.18570812
num_mlp_0_0_outputs,3,-0.4543953,0.14916877,0.29644084,-0.108965,-0.17581056,-0.091382235
num_mlp_0_0_outputs,4,0.14548726,0.24490502,0.35026032,-2.507758,0.25543478,0.21407065
num_mlp_0_0_outputs,5,-0.034220703,0.10737125,0.21618347,-1.0713902,0.34039804,0.022702858
num_mlp_0_0_outputs,6,-0.56013054,-0.47896078,-0.45815274,1.4894464,-0.924231,-1.2591307
num_mlp_0_0_outputs,7,-0.26389822,0.325027,0.18558948,-3.0399647,1.9174821,-0.5647975
ones,_,-0.096578605,0.14431298,-0.25230378,0.060161933,0.8353737,-0.25369248
positions,0,0.3759621,-0.8572161,0.63401145,0.0071611656,-0.31666398,0.41969234
positions,1,0.16227652,0.64587057,-1.1037405,2.153215,0.71915025,-0.41332048
positions,2,-1.0399897,0.24092217,1.046553,-1.4739699,0.52213746,0.21511544
positions,3,0.31925422,0.34736207,0.2907215,0.0488904,0.41985533,0.572465
positions,4,0.48227006,-0.32259116,-0.15874705,-0.32864198,0.30721125,0.4569
positions,5,-0.06198088,-0.379758,-0.07518168,-1.0505618,0.10593639,-0.44329673
positions,6,0.5593509,-0.24992178,0.21356128,-0.5829649,0.5516289,0.75532645
positions,7,-0.25067985,0.028917104,0.029296331,0.2098243,0.14265276,0.40705383
tokens,0,0.41949686,0.038864803,0.28356594,0.059038494,0.43213674,-0.23885916
tokens,1,0.08683235,0.65028065,-0.25693303,-0.32516745,-0.07619563,-0.25456834
tokens,2,-0.23390019,0.13151802,0.41074845,-0.019363943,0.83392644,0.19491474
tokens,3,-0.24896379,0.34033003,0.051176693,-0.29723552,0.064210065,-0.23791091
tokens,4,0.29735127,-1.1465536,-0.22234447,0.26711416,0.8055771,-0.13288082
tokens,5,0.27098933,0.13525896,0.13991886,-0.1026257,0.065664716,-0.5150523
tokens,<pad>,-0.3293598,0.45230865,-0.41809666,-0.28195873,0.6465198,-0.02304
tokens,<s>,0.36409405,-0.26150683,0.11512976,-0.18442777,0.29049632,-0.5237707
